Name,Work Description,Work Status,Effort Percent Complete,Actual/Schedule Finish,Manager Assessment,Execution Project Manager,Customer,Service Portfolio Owner/ Exec Sponsor
HCM - Health Care Reform,To track ADAC approved Health Care Reform intiiatives and effort. Work for regulatory mandates or University mandates to stay in compliance with Health Care Reform legislation. An example of this is the effort mandated by the Employer Shared Responsibility (ESR) Act.,Open/Approved,94,6/30/2017,Green,"Yoas,Scot M",Human Resources,"Behm,Jim"
RAS: AM - AAALAC Improvements Pt2,AAALAC Continous Improvements Pt2- Until U of M is off of probation with AAALAC there will be a constant need to make system changes/improvements.  Even if U of M is off of probation there will be items needed to keep us off probation that are recommended by AAALAC  The scope of this will be determined based on continual feedback from AAALAC and consultants that have be hired by the Animail Care and Use Office (ACUO formally UCUCA).  This project is Compliance related.,Open/Approved,20,6/29/2018,Green,"Cooper,Camille B",ITS,"Behm,Jim"
"FIN PUMs 12-21 (patch, update, etc)",Analyze patches and updates which weren't applied during the upgrade. Decide which ones to apply. Apply and test them in non-prod and then apply them in production.,Open/Approved,54,6/2/2017,Green,"Burch,Jennifer",,"Behm,Jim"
RAS: RM - Compl. Repository to Human Subj Data Set,"As follow-up to the RAS Ensure Regulatory Compliance project, this effort will add data associated with the new Repository Application to the data warehouse. This data will be part of the existing Human Subject Research data set.",Open/Approved,97,4/28/2017,Green,"Locey,Mary",OVP Research,"Behm,Jim"
RAS: PM - Award Management,"automate the management of Research Project Awards, allowing multiple sponsored projects and other research records to be associated with one or more Award.",Open/Approved,10,6/29/2018,Green,"Handyside,Cathy",OVP Research,"Behm,Jim"
RAS: Click (Vendor) 8.0 Upgrade,"Click (Vendor) 8.0 Upgrade - this new version will be release Oct. 31 2016 - AM, PM, CM, and RM will need to make this upgrade throughout CYl 2017.  All products are already two dot release behind the vendor, it will need to do this one to stay in a vendor supported version.  This will provide a lot of nice features out of the box the users have been waiting for, as well as features that could be implemented that users have also been waiting for.  It is also the minimum required version for MIDAR.",Open/Approved,23,10/31/2017,Green,"Locey,Mary",ITS,"Behm,Jim"
DART-Phase 2 (AAUM) Improved Integration,"Complete analysis of the Alumni Association membership system, identify means of data integration with DART, and implement solution.",Open/Approved,95,7/7/2017,Red,"Diglio,Lisa",Development,"Behm,Jim"
DART-Phase 2 Grateful Patient Integration,"Complete analysis of the UMHS newly developed Grateful Patient system, identify means of data integration with DART, and implement solution.",Open/Approved,79,12/11/2017,Green,"Diglio,Lisa",Development,"Behm,Jim"
SA - PeopleTools 8.55 Upgrade,"Upgrade all Campus Solutions environments from PeopleTools 8.54 to 8.55.  Business drivers include remaining current with vendor maintenance, acquiring new capabilities, and preparing the CS environments for the 9.2 application upgrade.  This tool set is foundational for the CS 9.2 application upgrade.",Open/Approved,78,3/31/2017,Green,"Burch,Jennifer",ITS,"Behm,Jim"
FIN - UMHS  - EDI Implementation,"UMHS is looking to re-implement their EDI solution.  An RFP was conducted and upon conclusion GHX was the clear winner, however a formal award was never made.  An accelerated re-evaluation will take place from 11/2-12/1 to determine the preferred vendor.   It is estimated that this is a 9 month project at this time.",Open/Approved,75,6/2/2017,Green,"Palmby,Brian",U-M Health System,"Behm,Jim"
FIN-UMHS VMI -  3 Way Match,UMHS has received approval to move forward with their Value Margin Initiative (VMI) for Supply Chain Processes.  Three items related to this multifaceted effort involve technology components.  Deliverables for this effort are closely tied to the FIN 9.2 upgrade. The 9.2 steering committee has reviewed and approved the effort to run in parallel with this project.,Open/Approved,1,9/29/2017,Yellow,"Palmby,Brian",U-M Health System,"Behm,Jim"
SA - Cross Training,"Cross-training project for the SA team.  2 hr per week per BSA through June 2017.  2hr x 13 BSAs x 72 week = 1872 hours.

This will be costed as a RUN project.",Open/Approved,34,6/30/2017,Yellow,"Robson,Brian",ITS,"Behm,Jim"
