CHANNEL,NETWORK,CATEGORY
2.1,WJBK (2-Fox) HD,UMTV
3,SBN TV,UMTV
4.1,WDIV (4-NBC) HD,UMTV
4.2,This TV,UMTV
5,Fox Sports Detroit,UMTV
6,ESPN2,UMTV
7.1,WXYZ (7-ABC) HD,UMTV
7.2,WXYZ-Laff,UMTV
8,Freeform,UMTV
9.1,CBET (9-CBC) HD,UMTV
10,NBC Sports,UMTV
11,TBS,UMTV
12,Bravo,UMTV
13,FX,UMTV
14,History,UMTV
15,WGN America,UMTV
16,EWTN,UMTV
17,CMT,UMTV
18,Fox Sports 1,UMTV
19,ESPN,UMTV
20.1,WMYD (20-IND) HD,UMTV
21,HGTV,UMTV
22,MTVU,UMTV
23,A&E,UMTV
24,ESPNU,UMTV
25,USA,UMTV
26,Fox News,UMTV
27,TNT,UMTV
28,CTND,UMTV
29,Fox Sports Detroit Plus,UMTV
31.1,Ion Television,UMTV
31.2,Qubo,UMTV
31.3,Ion Life,UMTV
32,Nat Geo Wild,UMTV
33,MLB Network,UMTV
34,Starz Encore,UMTV
35,Starz Encore Family,UMTV
36,WADL-Grit,UMTV
37,WGTE (29-PBS),UMTV
38,CBS Sports,UMTV
39,Sprout,UMTV
40,LMN,UMTV
41,Centric,UMTV
42,NBA TV,UMTV
43,Big Ten Network,UMTV
44,NFL Network,UMTV
46,Nat Geo,UMTV
48,WE TV,UMTV
49,Oxygen,UMTV
50,UMTV Promo,UMTV
50.1,WKBD (50-CW),UMTV
53,UMTV Channel Guide,UMTV
56.1,WTVS (56-PBS),UMTV
56.2,WTVS World,UMTV
56.3,WTVS Create,UMTV
61,Hallmark Channel,UMTV
62.1,WWJ (62-CBS) HD,UMTV
63,NHL Network,UMTV
64,Fox Business Network,UMTV
65,Galavision,UMTV
66,Flix,UMTV
67,Sundance,UMTV
68,Hallmark Movies & Mysteries,UMTV
69,Outdoor Channel,UMTV
70,WDWO (TCT),UMTV
71,EVINE Live,UMTV
72,Weatherscan,UMTV
73,Daystar,UMTV
74,Up TV,UMTV
75,Fuse,UMTV
76,Africa Channel,UMTV
77,Ovation,UMTV
78,BBC World News,UMTV
79,BTN Overflow 1,UMTV
80,BTN Overflow 2,UMTV
81,WGTE Family,UMTV
82,WGTE Create,UMTV
83,BYU TV,UMTV
84,FX Movie Channel,UMTV
85,Disney XD,UMTV
85.04,Singers & Swing,MusicChannel
85.05,Kidz Only!,MusicChannel
85.06,Throwback Jamz,MusicChannel
85.07,Rock Hits,MusicChannel
85.08,Gospel,MusicChannel
85.09,Indie,MusicChannel
85.10,Hit List,MusicChannel
85.11,Party Favorites,MusicChannel
85.12,Today'S Country,MusicChannel
85.13,Hip-Hop Classics,MusicChannel
85.14,Rap,MusicChannel
85.15,Hip-Hop And R&B,MusicChannel
85.16,Classic Rock,MusicChannel
85.17,R&B Classics,MusicChannel
85.18,R&B Soul,MusicChannel
85.19,Alternative,MusicChannel
85.20,Metal,MusicChannel
85.21,Rock,MusicChannel
85.22,Reggae,MusicChannel
85.23,Soft Rock,MusicChannel
85.24,Pop Hits,MusicChannel
85.25,Y2K,MusicChannel
85.26,90s,MusicChannel
85.27,80s,MusicChannel
85.28,MusicChannel Choice Max,MusicChannel
85.29,Dance/EDM,MusicChannel
85.30,Contemporary Christian,MusicChannel
85.31,Pop Latino,MusicChannel
85.32,Classic Country,MusicChannel
85.33,Romances,MusicChannel
85.34,Sounds Of The Season,MusicChannel
85.35,Country Hits,MusicChannel
85.36,70s,MusicChannel
85.37,Solid Gold Oldies,MusicChannel
85.38,Pop & Country,MusicChannel
85.39,Tropicales,MusicChannel
85.40,Mexicana,MusicChannel
85.41,Soundscapes,MusicChannel
85.42,Smooth Jazz,MusicChannel
85.43,Toddler Tunes,MusicChannel
85.44,Stage & Screen,MusicChannel
85.45,Teen Beats,MusicChannel
85.46,MusicChannela Urbana,MusicChannel
85.47,Love Songs,MusicChannel
85.48,Adult Alternative,MusicChannel
85.49,Jazz,MusicChannel
85.50,Blues,MusicChannel
85.61,Easy Listening,MusicChannel
85.62,Classical,MusicChannel
85.63,Light Classical,MusicChannel
86,C-SPAN3,UMTV
87,ESPNews,UMTV
88,Discovery Family,UMTV
89,Science,UMTV
90,Destination America,UMTV
91,Investigation Discovery,UMTV
92,BBC America,UMTV
93,American Heroes Channel,UMTV
94,Reelz,UMTV
95,FYI,UMTV
96,Viceland,UMTV
97,Telemundo,UMTV
98,IFC,UMTV
99,Cooking Channel,UMTV
100,DIY Network,UMTV
102,Word Network,UMTV
103,WLPC,UMTV
104,Bloomberg Television,UMTV
105,BET,UMTV
106,Cartoon Network,UMTV
107,Comedy Central,UMTV
108,MTV,UMTV
109,Disney Channel,UMTV
