title,presenters,description,materials,date,length,url,subtitle
Users First! Flexible and Fluid User Interfaces (UIs),Mark McManamay - ITS EAS Will Burns - Mobile/Web team,,https://docs.google.com/a/umich.edu/presentation/d/1GGgxk3OTCXl34AorykdNJb1QKsqSR9Uv92pwuZNEkHw/edit?usp=sharing [Presentation Slides],5/15/2017,0:46:42,https://bluejeans.com/s/6HbC_/,
Securing DNS at U-M,Marty Stroud - Network & Security Operations Mgr Bob Harold - UMnet Hostmaster James Klaas - UMnet Hostmaster Matt Coons - IIA Incident Responder and Threat Analyst,,https://docs.google.com/a/umich.edu/presentation/d/1FyuTyDJSOdFSHYO4gA5whShWxnBA75zDpRN-ItE7WqU/edit?usp=sharing [Presentation Slides],4/10/2017,1:34:45,https://bluejeans.com/s/rLKyC/,
Unlock the Power of Strategic Questions,Jeanne Mackey,,https://docs.google.com/a/umich.edu/presentation/d/12xIJa8dtOnD0cS83Sxleb4fFVJNY1ibJsOTQjbznyBw/htmlpresent [Presentation Slides] https://goo.gl/c10hnX [Extra Resources] [Extra Resources],3/20/2017,1:17:43,https://bluejeans.com/s/qkEFT/,
"What's happening with ""M Cloud""? And, the M Cloud AWS Integrate Project",Mark Personett and Joe Lubomirski from the Virtualization and Cloud Infrastructure team,,https://docs.google.com/presentation/d/1P9o3GFJbBrdO-nAVUZaPY2XIEcmowm1ykbA8fOYFbf0/edit#slide=id.g18547b4d56_1_33 [Presentation Slides],2/13/2017,,,
Pulling the Canvas Over CTools,John Johnston and Jennifer Swaney,,,1/23/2017,0:53:51,https://bluejeans.com/s/oTZuI/,
ITS EAS FIN Procurement/Supply Chain system,Brian Skelding and the FIN Procurement BSAs,,,11/14/2016,0:56:20,https://univofmichigan.adobeconnect.com/p8czsuvozz8/,
Productivity,Mark Davis-Craig,,https://docs.google.com/a/umich.edu/presentation/d/1E2X_qYYBsaTIAgYkyivNo-1uDLeiGSCqM54qhhid3VI/edit?usp=sharing [Presentation Slides],10/17/2016,0:32:25,https://univofmichigan.adobeconnect.com/p5vo1ej063b/,
Information Assurance (IA): Everything you didn't know and were afraid to ask,Mike Lowry Sol Bermann,,https://docs.google.com/a/umich.edu/viewer?a=v&pid=sites&srcid=dW1pY2guZWR1fGFpcy1mb3J1bXxneDo3ZTUzNDMwMDgyYzFiYjA0 [Presentation Slides],9/19/2016,0:44:49,https://univofmichigan.adobeconnect.com/p1ltsdgqbei/,
Using Collaboration Tools in Your Everyday Life,Rick Sawoscinski,,https://umich.box.com/v/GoogleMboxEveryDay [Presentation Slides],6/20/2016,0:52:08,http://univofmichigan.adobeconnect.com/p12oolbfiss/,
Windows Enterprise Systems (WES),"Tara Horton and the WES Team (Jon Voss, Ben Andries, Blaine Rudy, Brian Saltzman, and Reno Olivero)",,https://docs.google.com/a/umich.edu/viewer?a=v&pid=sites&srcid=dW1pY2guZWR1fGFpcy1mb3J1bXxneDozYjUwZTU1ODUzZDBkMGI4 [Presentation Slides],5/16/2016,0:41:27,http://univofmichigan.adobeconnect.com/p3a34jvpsft/,
The Directory of APIs: The Future is Now,Michael Sheppard and Kranthi Bandaru,The next great AIS Forum will be on Integrations and API's - with Michael Sheppard and Kranthi Bandaru from the Data Integrations (DI) team. The Future is Now! An API Directory is vital to a healthy and robust data service offering.,,4/18/2016,0:51:10,http://univofmichigan.adobeconnect.com/p42fzuzpcf6/,
$4 Billion Reasons Why DART's Important!,"Lil Mazza, Cassidy Eaton, LaJuana Jackson, and Crystal Mroz",,,3/21/2016,0:46:34,http://univofmichigan.adobeconnect.com/p7fo8awyn5g/,
Shibboleth and Federated Identity,"Liam Hoekenga and Patrick Steffes, Identity and Access Management (IAM)",,https://sites.google.com/a/umich.edu/ais-forum/home?pli=1 [Presentation Slides],2/22/2016,0:53:54,http://univofmichigan.adobeconnect.com/p2q8hwq8298/,
Introducing MiVideo,"Melinda Kraft, ITS Content Management group",,,1/25/2016,0:43:01,https://support.mivideo.it.umich.edu/media/MiVideo+AIS+Forum/1_v23rqiu5/,
Benefits of Universal Design,"Jane Vincent and Brandon Werner, ITS Assistive Tech Team",How does good design for people with disabilities translate into better access for everyone?,,11/16/2015,0:45:47,https://www.youtube.com/watch?v=0KBuqyFQ1eM&rel=0,
Why Lean?,Tim Niles,"Why Lean? Why Lean has nothing to do with manufacturing... and everything to do with ""Why?""",,10/19/2015,0:53:16,http://univofmichigan.adobeconnect.com/p8ksgq7emi0/,
Learning Analytics,Ruby Nugent and Glenn Auerbach,Ruby Nugent and Glenn Auerbach present all you wanted to know about Learning Analytics! Why is campus so interested in Learning Analytics? What is the Learning Analytics Task Force? And how does the new Digital Office of Education and Digital Innovation Greenhouse fit in with ITS? How will this affect YOU? Get the answers to these questions and More!,,9/21/2015,0:51:52,http://univofmichigan.adobeconnect.com/p1vr0tdutys/,
Canvas at Michigan,Jeff Ziegler,,,7/20/2015,0:54:32,http://univofmichigan.adobeconnect.com/p3nwql1gqce/,
BIG DATA!,"Jason Pasinetti, ERP Business Systems Analyst Senior",Big Data is a new buzz word in corporate America as well as in universities across the country. Jason will get us up to speed.,,6/15/2015,0:45:41,https://www.youtube.com/watch?v=IAbeazRU3_U&rel=0,
eResearch and Research at the U,"David Mulder, Assistant Director Research Administration Systems Mike Matola, Application Developer Senior","Research is big news - but who are the ITS people behind the scenes, and what unique functionality do they provide to support this critical component of our university?",,5/18/2015,0:51:46,http://univofmichigan.adobeconnect.com/p67pt294ha3/,
Responsive Web Design,Anton Daniels and Mike Wojan,Responsive Web Design (RWD) has been in the tech news lately and is recommended as a great approach to web design to provide an optimal viewing experience - easy reading and navigation and less effort for the user - across a wide range of devices. Simplify content management. Shouldn't we all be looking at this?,,4/20/2015,0:52:52,http://univofmichigan.adobeconnect.com/p5zkasymx6h/,
ServiceLink Tips & Tricks,"Mike Morabito, the manager of ITS Service Desk, and Tracy Fischer","We all went to the ServiceLink training when it first started up, but now would be a great time to find out what efficient time-saver tips and tricks we could be using to take us to the next level! Mike and Tracy will show us how to get our homepage working for us as well as reporting in ServiceLink. He will also introduce ITS Support Services - who are they and what the challenges are for the team.",,3/16/2015,0:49:14,http://univofmichigan.adobeconnect.com/p8q3ty1t80s/,
Google vs. Microsoft,"Martin Sager and Jen Mruk, ITS Collaboration Team","Martin Sager and Jen Mruk introduce the ITS Collaboration Team and discuss the differences between Google and Microsoft Office products, and how we can benefit.",,2/16/2015,0:54:20,http://univofmichigan.adobeconnect.com/p7y3pkok5r3/,
Screen Sharing and Video Conferencing Options,Mike Stork,"As more and more content is delivered both live and asynchronously via video and web conferencing, it can be difficult to know which tool is the best choice in a given situation. What are the advantages and limitations of one tool over another? How do I know which one to recommend to clients?",https://docs.google.com/a/umich.edu/presentation/d/14U0pcSuClDJf9SY2EIHVc4XzSdy4BQmqqAaRSi98sBY/edit?usp=sharing [Presentation Slides],1/12/2015,0:55:21,http://univofmichigan.adobeconnect.com/p4v5j2q9fd0/,
"AWI Current Events & Tools: Splunk, Architectures, Data Center Migrations, and Security","Brian McRae, Mark Shurtliff, Tung Ngo and Jena Osman from Internal Systems",AWI (Application & Web Infrastructure) is in the background taking care of our systems. Wouldn't you like to know more about them?,,11/17/2014,0:57:58,http://univofmichigan.adobeconnect.com/p9u5sixd7pf/,
Application Integrations: Exploring Your Options,"Michael Sheppard, Kris Steinhoff, and Dave Perhne",We all have integrations between various applications and we are adding more all the time. We can all benefit from more exposure to this rapidly advancing topic from our internal experts!,https://docs.google.com/a/umich.edu/presentation/d/1Vh_lX7A6Gwk6NUHs22Sn93n5G1tj91xkm__zCgfbdSI/edit#slide=id.g496dfc0b8_039 [Presentation Slides],10/20/2014,0:57:26,http://univofmichigan.adobeconnect.com/p4jgegjxsjo/,
CTools,Jeff Ziegler,,,9/15/2014,0:57:47,http://univofmichigan.adobeconnect.com/p7apgf1lhba/,
Selenium - Faster Testing!,Chris Gardner,,,7/21/2014,0:46:50,http://univofmichigan.adobeconnect.com/p31xheorhch/,
Internal Systems Demos,"Jenny Balaze, TNG Reports Joel Stemple, Reporting in Jira Russ Blaesing, ServiceLink Reporting Brian Hobbs, STAT Query Tool",,,6/16/2014,0:48:41,http://univofmichigan.adobeconnect.com/p974au9dxse/,
Best Practices on Where to Store Documents!,Lisa Emery Cathy Handyside Tim Niles Dima Tawakkol,"We all spend a lot of time on our documents whether they are for teams or projects or support, in-facing or out-facing. We want to share our designs and findings and how-to's. Where should we put them? Find out the innovative ways these experts store and track their work!",,5/19/2014,0:54:00,http://univofmichigan.adobeconnect.com/p1a4i5ms8dk/,
U-M Google Sites & Forms,Ryan Vis,,,4/28/2014,0:54:03,http://univofmichigan.adobeconnect.com/p1ppzbqlo1y/,
ITS IIA Security,Dennis Neil,,,3/24/2014,0:53:34,http://univofmichigan.adobeconnect.com/p9f9sbz6m4m/,
What is Tableau? Who is using it? What is it not replacing?,Carolyn Rockafellow and Fusen Li,,,2/10/2014,0:53:27,http://univofmichigan.adobeconnect.com/p48grjpethj/,
Making ITS More Usable – Increasing the Perceived Usability of ITS Products and Services,Nisha Erinjeri and John Cady,"We all encounter hard-to-use products in our daily lives. Most often, these lie outside of our control to fix, leaving us frustrated and living with daily annoyances. At ITS, however, we have some control to fix common frustrations for our customers and provide better experiences; we just need to know where to start.",,1/13/2014,0:54:52,http://univofmichigan.adobeconnect.com/p3yw7orp6p7/,
U-M Box,MaryBeth Stuenkel,,,11/21/2013,0:51:48,http://univofmichigan.adobeconnect.com/p4k5uug4op3/,
