rank,name,group,status,details,lat,lng
10010,Shapiro Undergraduate Library,Libraries,Completed,,42.27562,-83.737183
10020,Hatcher Graduate Library,Libraries,Completed,,42.27626,-83.738197
10030,Buhr Building (Library Space),Libraries,Completed,,42.270687,-83.746803
20010,Palmer Commons,Public Facing Buildings,Completed,,42.280643,-83.73381
20020,President's House,Public Facing Buildings,Completed,,42.275352,-83.7386084
20030,Pierpont Commons,Public Facing Buildings,Completed,,42.291008,-83.717598
20040,Rackham (Lobbies),Public Facing Buildings,Completed,,42.280834,-83.738289
20050,Michigan League (Mendelssohn Ticketing Lobby),Public Facing Buildings,Completed,,42.279118,-83.737556
20060,Michigan Union,Public Facing Buildings,Completed,,42.275135,-83.741516
20070,Student Activities Building,Public Facing Buildings,Completed,,42.276561,-83.7425642
20080,Alumni Center,Public Facing Buildings,Completed,,42.280109,-83.73774
20090,Power Center for the Performing Arts (Lobbies),Public Facing Buildings,Completed,,42.280754,-83.735741
20100,Health Services Building,Public Facing Buildings,Completed,,42.279739,-83.73671
20110,Hill Auditorium (Lobbies),Public Facing Buildings,Completed,,42.279133,-83.739067
20120,Michigan League,Public Facing Buildings,Completed,,42.279118,-83.737556
20130,Ruthven & Exhibit Museums,Public Facing Buildings,Completed,,42.278183,-83.734337
20140,Central Campus Recreation Building (CCRB),Public Facing Buildings,Completed,,42.278229,-83.732727
20150,North Campus Recreation Building (NCRB),Public Facing Buildings,Completed,,42.295467,-83.7202
20160,Bentley Historical Library,Public Facing Buildings,Completed,,42.289597,-83.712227
20170,Rackham (Administrative Spaces),Public Facing Buildings,Completed,,42.280834,-83.738289
20180,Rackham (Auditorium),Public Facing Buildings,Completed,,42.280834,-83.738289
20190,Power Center for the Performing Arts (Auditorium),Public Facing Buildings,In Progress,,42.280754,-83.735741
20200,Hill Auditorium (Auditorium),Public Facing Buildings,Funded,,42.279133,-83.739067
20210,Department of Public Safety,Public Facing Buildings,In Progress,,42.2741512,-83.7477467
20220,Towsley Center for Children,Public Facing Buildings,Funded,,42.273331,-83.733444
20230,Matthaei Botanical Gardens,Public Facing Buildings,In Progress,,42.3026219,-83.6636613
20240,Intramural Sports Building,Public Facing Buildings,Funded,,42.269409,-83.742264
30010,Clements Library,Academic Spaces,Funded,,42.275447,-83.737989
30020,Duderstadt Center/Media Union,Academic Spaces,Funded,,42.291126,-83.715759
30030,U-M Museum of Art (UMMA) (Alumni Memorial Hall),Academic Spaces,Funded,,42.275417,-83.739906
30040,Angell Hall (Auditoriums),Academic Spaces,Funded,,42.276752,-83.740044
30050,Stamps Auditorium,Academic Spaces,Funded,,42.291946,-83.717514
30060,Bonisteel Interdisciplinary Research Building (BIRB),Academic Spaces,Funded,,42.289906,-83.713524
30070,Art & Architecture,Academic Spaces,Funded,,42.28931,-83.717194
30080,South Quad,Academic Spaces,Funded,,42.273674,-83.742126
30090,Cook Law Library,Academic Spaces,Funded,,42.273777,-83.739395
30100,Undergraduate Science Building (USB),Academic Spaces,Funded,,42.279873,-83.73526
30110,Mason Hall,Academic Spaces,Funded,,42.277206,-83.739265
30120,Tappan Hall,Academic Spaces,Funded,,42.275436,-83.739296
30130,School of Music (Moore Building),Academic Spaces,Funded,,42.290405,-83.721031
30140,Modern Languages Building,Academic Spaces,Funded,,42.2798611,-83.739074
30150,Stearns Frederick Building,Academic Spaces,Funded,,42.295469,-83.725998
30160,Chemistry,Academic Spaces,Funded,,42.278072,-83.737099
30170,Hutchins Hall,Academic Spaces,Funded,,42.273697,-83.740372
30180,Gorguze Family Laboratory (Engineering Programs Building),Academic Spaces,Funded,,42.293308,-83.710831
30190,CC Little,Academic Spaces,Funded,,42.2775,-83.735367
30200,Dana Building (SNRE),Academic Spaces,Funded,,42.277317,-83.73658
30210,Burton Memorial Tower,Academic Spaces,Funded,,42.279617,-83.738632
30220,Chrysler Center (Continuing Engineering Education),Academic Spaces,Funded,,42.290764,-83.716728
30230,School of Dentistry,Academic Spaces,Funded,,42.279022,-83.735947
30240,H. H. Dow,Academic Spaces,Funded,,42.292946,-83.715416
30250,G. G. Brown,Academic Spaces,Funded,,42.293102,-83.71386
30260,"School of Public Health, Building II (Francis Thomas)",Academic Spaces,Funded,,42.280212,-83.72995
30270,Walgreen Drama Center,Academic Spaces,Funded,,42.291946,-83.717514
30280,Lurie Biomedical Engineering Building,Academic Spaces,Funded,,42.288906,-83.713593
30290,Randall Lab,Academic Spaces,Funded,,42.276707,-83.736809
30300,College of Pharmacy,Academic Spaces,Funded,,42.277184,-83.734933
30310,Cooley Lab,Academic Spaces,Funded,,42.290611,-83.713684
30320,Lorch Hall,Academic Spaces,Funded,,42.273682,-83.737289
30330,Weill Hall,Academic Spaces,Funded,,42.272404,-83.740326
30340,School of Education,Academic Spaces,Funded,,42.273888,-83.736084
30350,School of Nursing,Academic Spaces,Funded,,42.284229,-83.737503
30360,School of Kinesiology,Academic Spaces,Funded,,42.280164,-83.730651
30370,"School of Public Health, Building I (Vaughan Henry Frieze)",Academic Spaces,Funded,,42.280884,-83.730667
30380,School of Social Work,Academic Spaces,Funded,,42.274616,-83.736229
30390,North Quad,Academic Spaces,Funded,,42.280746,-83.740135
30400,Dance Building,Academic Spaces,Funded,,42.277744,-83.73246
30410,Revelli Hall,Academic Spaces,Funded,,42.2692653,-83.7446973
30420,Kresge Business Administration Library,Academic Spaces,Funded,,42.272887,-83.736867
30430,Dennison Building,Academic Spaces,Funded,,42.27673,-83.735092
30440,Computer Executive Education Building,Academic Spaces,Funded,,,
30450,Francois-Xavier Bagnoud,Academic Spaces,Funded,,42.293556,-83.712021
30460,Kraus Natural Science,Academic Spaces,Funded,,42.27808,-83.738976
30470,Industrial & Operations Engineering,Academic Spaces,Funded,,42.29108,-83.713768
30480,Electrical Engineering & Computer Science (EECS),Academic Spaces,Funded,,42.292374,-83.713974
30490,Engineering Research Building 2,Academic Spaces,Funded,,42.289562,-83.7151643
30500,Naval Architecture & Marine Engineering,Academic Spaces,Funded,,42.293072,-83.709198
30510,East Hall,Academic Spaces,Funded,,42.275784,-83.735199
30520,Environment & Water Resources Engineering (EWRE),Academic Spaces,Funded,,42.292778,-83.713417
30530,Space Research Building (SRB),Academic Spaces,Funded,,42.29438,-83.711624
30540,Gerstacker Building,Academic Spaces,Funded,,42.289612,-83.71447
30550,Law School Academic Building (South Hall),Academic Spaces,Funded,,42.273022,-83.7400568
30560,Angell Hall/Tisch Hall,Academic Spaces,Funded,,42.276752,-83.740044
30570,Thayer Academic Building,Academic Spaces,Funded,,42.280083,-83.7399713
30580,Ross School of Business,Academic Spaces,Funded,,42.272381,-83.737602
30590,Lay Automotive Lab,Academic Spaces,Funded,,42.291851,-83.713989
30600,Computer Science & Engineering (Beyster),Academic Spaces,Funded,,42.2930138,-83.716372
30610,West Hall/School of Information,Academic Spaces,Funded,,42.275806,-83.736244
30620,Phoenix Memorial Laboratory,Academic Spaces,Funded,,42.2911265,-83.7146543
30630,Engineering Research Building 1,Academic Spaces,Funded,,42.2895016,-83.7148893
30640,Haven Hall,Academic Spaces,Funded,,42.276348,-83.73922
30650,"College of Literature, Science, and the Arts (LSA)",Academic Spaces,Funded,,42.276203,-83.741257
30660,Lane Hall,Academic Spaces,Funded,,42.279926,-83.741249
30670,Wyly Hall,Academic Spaces,Funded,,42.2723837,-83.7361247
30680,Kelsey Museum of Archeology (Newberry Hall),Academic Spaces,Funded,,42.276768,-83.741158
30690,School of Information North,Academic Spaces,Funded,,42.288952,-83.714493
30700,Lurie Engineering Center,Academic Spaces,Funded,,42.291485,-83.713791
